link,text,name,username,date,comments,retweets,quotes,likes
https://twitter.com/Version2D/status/1740566418117287972#m,Les relations sociales pour une femme seule avec des hommes non-muzz n'ont rien à voir ! Une touriste occidentale seule ne pourra jamais voyager tranquille au Maroc comme au Cambodge😂🤣,DIVERSITOMETRE,@Version2D,"Dec 29, 2023 · 2:52 AM UTC",0,0,0,0
https://twitter.com/gurlnouare/status/1740508479461499008#m,Ils sont même déjà au Maroc. Je les suis graaaave 😆✊🏾,🤖🧠💖,@gurlnouare,"Dec 28, 2023 · 11:02 PM UTC",0,2,0,2
https://twitter.com/Diaby_lv1/status/1740513605714616374#m,J’ai le maillot blanc du Maroc 2022 alors que j’suis malien,Diaby ⚔️,@Diaby_lv1,"Dec 28, 2023 · 11:22 PM UTC",4,3,1,34
https://twitter.com/KardoliSam/status/1740566173035663714#m,Non ils ont raison   Vous faites la même chose contre le Maroc depuis 1963,Sam Kardoli,@KardoliSam,"Dec 29, 2023 · 2:51 AM UTC",0,0,0,0
https://twitter.com/MoorishMovement/status/1740432188867486077#m,"📄 Lettre rédigée en 1799 par l’Empereur Napoléon Bonaparte 🇫🇷 au Sultan du Maroc, Moulay Slimane 🇲🇦.  Cette lettre fut écrite après la protection spéciale accordée aux pèlerins marocains par Napoléon.",MM ۞,@MoorishMovement,"Dec 28, 2023 · 5:59 PM UTC",9,79,5,339
https://twitter.com/hallanbeach/status/1740565698282467706#m,C'est edifiant de honte de devoir dependre de la puissance occupante (Melilla-Ceuta) pour la fourniture de son energie.    Une monarchie perverse et servile qui a reduit les marocains a des larbins.   Leur laissant que le venin du crapeau en apanage.   #maroc #drogue #pegasus,DZ4life,@hallanbeach,"Dec 29, 2023 · 2:49 AM UTC",0,0,0,0
https://twitter.com/Skbaponali2/status/1740565612458373385#m,,MAROC,@Skbaponali2,"Dec 29, 2023 · 2:49 AM UTC",0,0,0,0
https://twitter.com/QMenelle/status/1740565608893186349#m,"Mdrrrr sa voix on dirait un crissement de fourchette sur une assiette 😵‍💫😵‍💫😵‍💫  J’suis sure qu’elle ment, elle n’ira pas au Maroc c est juste pour encore endormir les gens",Bratz 🧸,@QMenelle,"Dec 29, 2023 · 2:49 AM UTC",1,0,0,2
https://twitter.com/ClichesDeJigme/status/1734992213895995730#m,Diplôme  Plôme 🥴,Jigmé ⚡️,@ClichesDeJigme,"Dec 13, 2023 · 5:42 PM UTC",82,86,16,5678
https://twitter.com/brochard6657/status/1740565426285981728#m,J'ai rencontré deux américaines qu'on fait une thèse là-dessus tu appelles leurs études elles se sont sauvées le Hamas de la menacée de mort ça au Maroc elles ont fait des tonnes de vidéos de tout ça là-dessus une enquête très approfondie les Palestiniens n'existe pas,GERARD BORCHARD,@brochard6657,"Dec 29, 2023 · 2:48 AM UTC",2,0,0,1
