link,text,name,username,date,comments,retweets,quotes,likes
https://twitter.com/KarimnajiKarim/status/1739790353652240567#m,Les Sons du Maroc.  Sourds of Morocco.  أصوات من المغرب.,kalima,@KarimnajiKarim,"Dec 26, 2023 · 11:28 PM UTC",6,33,3,189
https://twitter.com/TheRealMarroqui/status/1740071326302564633#m,"La ville de Marrakech est la 7ème meilleure ville du monde en 2023, sur un total de 53 villes, selon le dernier classement du magazine TimeOut.  Une fierté. 🇲🇦❤️  #Maroc #المغرب_أولا #Morocco #VisitMorocco",Morocco First 🇲🇦,@TheRealMarroqui,"Dec 27, 2023 · 6:05 PM UTC",0,3,0,9
https://twitter.com/MoroccoJm/status/1740026761205969127#m,Still 4 hours for the upcoming stream challenge between  team morocco 🇲🇦vs team algeria🇩🇿 Choose team morocco for the win 🇲🇦😌  ••• #JIMIN  JIMIN JIMIN #MAROC #MOROCCO #المغرب #جيمين,Pjm_Morocco 🇲🇦,@MoroccoJm,"Dec 27, 2023 · 3:08 PM UTC",0,13,0,21
https://twitter.com/akhbarbladie/status/1739766768669753675#m,🎥....ختاما أمسك حرامي ووملكش دعوى😅...تصبحون على خير🙂👋 #أخبار_بلادي_مع_هشام #morocco #المغرب #Maroc,أخبار بلادي-مع هشام,@akhbarbladie,"Dec 26, 2023 · 9:54 PM UTC",3,21,0,112
https://twitter.com/agharass/status/1740052856684904549#m,"Tentative de photographie de rue dans une Medina de Fes très animée.   Fes, Maroc 2023.   #streetphotography #morocco #maroc #photographiederue #shotoniphone #iphonography #فوتوغرافيا_الشارع #المغرب #rabat #ShadesOfMedina",أغاراس🔻,@agharass,"Dec 27, 2023 · 4:51 PM UTC",0,0,0,2
https://twitter.com/PortailMarocMa/status/1739360360212148309#m,هو نظام يتيح للأجانب من بعض الدول على الحصول على التأشيرة الالكترونية التي تمكنهم من الولوج الى المغرب بعد معالجة طلبهم من طرف الوزارة عبر المنصة التي تسمح أيضا بدفع تمن التأشيرة. يمكن الولوج إلى الخدمة عبر الرابط: https://www.acces-maroc.ma/#/e-visa #maroc #Morocco #بالعربي,Portail maroc.ma,@PortailMarocMa,"Dec 25, 2023 · 7:00 PM UTC",0,3,0,2
https://twitter.com/akhbarbladie/status/1737909581676720392#m,"🎥..... ""تكشبيلة تيوليلة ماقتلوني ما حياوني غير الكاس لي عطاوني والحرامي مايموتشي جات خباروا فالكوتشي"" اغنية رددها اجدادنا المغاربة🇲🇦 المطردون من الاندلس فأصبحت اغنية يرردها الصغار ...غير أن لها قصة خزينة😌  #أخبار_بلادي_مع_هشام #morocco #المغرب #maroc",أخبار بلادي-مع هشام,@akhbarbladie,"Dec 21, 2023 · 6:55 PM UTC",5,30,1,192
https://twitter.com/akhbarbladie/status/1739988055807967394#m,"إلى حليفته الغربية الملكة فيكتوريا كعربون شكر و امتنان بعد أن ""تلقى علاجا طبيا ممتازا في جبل طارق من خلال الحكومة البريطانية"" كما جاء في وصف اللوحة. #أخبار_بلادي_مع_هشام #المغرب #Morocco #Maroc",أخبار بلادي-مع هشام,@akhbarbladie,"Dec 27, 2023 · 12:34 PM UTC",0,2,0,22
