link,text,name,username,date,comments,retweets,quotes,likes
https://twitter.com/true83074759881/status/1740569318801486239#m,حصل معاي نفس كذا😅!   لشخص جايني ٧ المغرب وبكره الاختبار يقول ابي دفترك بصوره😕!  قلت له ماقدر اعتذر   وحقد وجلس يقول هالانسان (انا) مافيه خير هههههههههه وكل مكان يجلسه يقول كذا😂😂😂,true,@true83074759881,"Dec 29, 2023 · 3:03 AM UTC",0,0,0,0
https://twitter.com/RidouanOfficial/status/1740470574491762794#m,🇲🇦المغرب لديه ما تريده كل دولة، المغرب هو مستقبل العالم 🌎,Ridouan 🇲🇦,@RidouanOfficial,"Dec 28, 2023 · 8:31 PM UTC",1,17,0,45
https://twitter.com/Gaza_Shaheed/status/1740495758636290129#m,الشهيد الحاج مصطفى صالح النجيلي، أبو وائل   كان يحب أصدقائه وأهل الحي الذي يسكن فيه، وكانوا يجلسون معه من بعد صلاة العصر حتى المغرب يوميًا.   يحب أحفاده كلهم.. ويجلب لهم الحلوى عند ذهابه إلى السوق.. وكان قد ختم قراءة القرآن الكريم قبل استشهاده بساعات.  استشهد في قصف بيت جيرانه حيث كان يجلس في بيته يوم 14 ديسمبر 2023.  #شهداء_غزة,شهداء غزّة Gaza martyrs,@Gaza_Shaheed,"Dec 28, 2023 · 10:11 PM UTC",8,145,1,244
https://twitter.com/MouradNewm/status/1740569093739352268#m,الغاز خشيه في كرك المغرب ليس بلد الكراكيز لكي يعتمد عليكم في شيء 😏 لأنه دائما نقول اللي عندو باب واحد الله يسدو عليه إيوا دابا نعاودها لك هذاك الغاز خشيه في كرك واستنشقو مزيان,Mourad Newm,@MouradNewm,"Dec 29, 2023 · 3:03 AM UTC",0,0,0,0
https://twitter.com/saudbinkhaled11/status/1740220109476724905#m,لا تحتقر أحدا من المؤمنين مهما كان شكله أو جنسه أو لونه، فلربما كان فوقك في الجنة، تراه كما ترى الكوكب الدري الغابر في الأفق من المشرق أو المغرب لارتفاع منزلته.  { إِنَّ أَكْرَمَكُمْ عِندَ اللَّهِ أَتْقَاكُمْ } سورة الحجرات: ١٣.,سعود بن خالد,@saudbinkhaled11,"Dec 28, 2023 · 3:56 AM UTC",10,338,5,490
https://twitter.com/Sam61920727713/status/1740569089582792976#m,هو احنا نعرف اصولهم اصلا؟ عيله ال سعود كمان غير معروف اصولهم يرجح ان يكونوا من الحنفيه اللي كانوا ارتدوا مع مسيلمه الكذاب وهناك من يدعي انهم احفاد يهودي اسلم اسمه سعود بن عفرام كلها نظريات مؤامره لا احد يعرف ما الحقيقه وما الكذب.. بل ان كمان اصول ملك المغرب محل شك. والسيسي كذلك..,Eren Kruger,@Sam61920727713,"Dec 29, 2023 · 3:03 AM UTC",0,0,0,0
https://twitter.com/kyuharo/status/1740547685248364857#m,القانوني طبعا مايشوف قىحاب المغرب يسوقون لانفسهم عندنا بس سعوديه بحالها لازم تنسجن 💀,كيو,@kyuharo,"Dec 29, 2023 · 1:38 AM UTC",1,1,0,4
https://twitter.com/Lmoor45/status/1740569025254724021#m,بربر يسرقون تاريخ العرب حتا اسباني يستحي يقول بربري يحتل بلادي سلت اسبان يقولك الي احتل اندلس هوه الي حتل المغرب وهوه العربي من جزيرة العرب وليس بربر,lmoor🇵🇸🇷🇺🇨🇳,@Lmoor45,"Dec 29, 2023 · 3:02 AM UTC",0,0,0,0
https://twitter.com/ha3qar/status/1740569008599179732#m,أوقات الصلاة يوم الجمعة 29/12 توقيت الكويت                                                                   الفجر 5:17  صلاة الجمعة 11:50  العصر 2:40  المغرب 4:58  العشاء 6:21  ملاحظة:          الشروق 6:41,السمو المشتركة العقارية,@ha3qar,"Dec 29, 2023 · 3:02 AM UTC",1,0,0,0
https://twitter.com/sonia_claesson/status/1740434632674554018#m,صورة من  مطار الرباط المغرب 🇲🇦 رغم التطبيع يده على الزناد فالعدو لا يثق في الخائن و لا يحترمه..,Sonia claesson 🇹🇳🇵🇸🇸🇪,@sonia_claesson,"Dec 28, 2023 · 6:08 PM UTC",113,93,6,615
https://twitter.com/uupkw/status/1740568728033517624#m,رحت اختباري الساعة ٨ مواصلة طلعت رحت اتغدى انا وصديقتي  رجعت البيت الظهر نمت صحيت المغرب على طلبياتي طلعوا اهلي وجهزت القهوة والبخور (مع سلايداتي) جيت بذاكر جاء مطر رحت للحوش وقعدت فيه كل وقت العشاء شوي دقت صديقتي قالت بالبيت؟ افتحي الباب بقولك سالفة ولا طلعت الا ٢ ونص,uudow,@uupkw,"Dec 29, 2023 · 3:01 AM UTC",1,0,0,0
https://twitter.com/HiIdrissi/status/1740568555412914319#m,تتسائل على قروض في المغرب يا منتحل شخصية، مُخنشل ابن المخنشل🤣🤣😂😂😂😂😂😂 كون كنتي راجل كنت تسائلت على نقط بيع العدس و البوبيا في بلدك الخسائر🇩🇿 و لكن كما قال حكامك: هناك مشكلة رجال في ززاير.  نعس و غطيها يا عبيقة😂😂كمدها و بلع🤣🤣🤣🤣🤣😂😂😂🤣🤣,Moulay hicham Idrissi,@HiIdrissi,"Dec 29, 2023 · 3:00 AM UTC",0,0,0,0
https://twitter.com/AboFlah_1/status/1700869913479426280#m,اللهم احفظ اهل المغرب 🇲🇦 من كل مكروه,AboFlah,@AboFlah_1,"Sep 10, 2023 · 1:52 PM UTC",276,215,6,7193
